a_x,a_y,a_z,j_x,j_y,j_z
3.94,-6.31,7.54,-0.71,1.32,-0.88
-1.21,-5.51,7.22,-5.15,0.80,-0.32
1.38,-3.16,9.57,2.59,2.35,2.35
2.58,-3.18,9.92,1.21,-0.02,0.36
2.40,-4.56,9.30,-0.18,-1.38,-0.62
2.79,-5.09,9.05,0.39,-0.53,-0.25
3.04,-5.30,9.20,0.25,-0.21,0.15
2.26,-5.53,8.72,-0.78,-0.23,-0.48
2.24,-5.17,8.94,-0.02,0.36,0.22
2.27,-4.42,8.83,0.02,0.75,-0.11
1.12,-4.36,8.30,-1.15,0.06,-0.52
3.11,-6.21,8.66,1.99,-1.85,0.35
4.93,-5.28,9.38,1.83,0.93,0.73
2.56,-7.01,8.29,-2.38,-1.72,-1.09
3.21,-5.67,8.26,0.65,1.33,-0.03
3.53,-5.32,8.83,0.32,0.36,0.57
2.95,-5.43,8.75,-0.58,-0.11,-0.07
2.12,-4.76,7.53,-0.83,0.67,-1.23
1.13,-4.94,8.11,-0.99,-0.18,0.59
1.56,-5.11,8.80,0.43,-0.17,0.69
2.52,-4.77,9.11,0.96,0.35,0.30
3.67,-6.15,9.18,1.15,-1.38,0.07
6.05,-5.70,9.29,2.38,0.45,0.11
2.89,-6.00,7.76,-3.15,-0.30,-1.53
3.59,-6.23,8.22,0.70,-0.23,0.46
2.85,-5.24,8.13,-0.74,0.99,-0.09
2.35,-5.63,8.03,-0.51,-0.39,-0.10
2.82,-3.41,7.21,0.47,2.22,-0.82
1.02,-5.23,8.64,-1.80,-1.82,1.43
2.88,-4.73,9.78,1.85,0.50,1.14
2.42,-4.39,9.20,-0.45,0.34,-0.58
1.67,-4.23,8.47,-0.75,0.16,-0.73
3.03,-5.31,8.47,1.36,-1.08,0.00
3.63,-5.56,7.98,0.60,-0.25,-0.49
3.82,-6.50,7.64,0.19,-0.94,-0.34
5.05,-6.88,8.20,1.24,-0.38,0.56
2.94,-6.43,7.32,-2.12,0.45,-0.88
3.19,-7.09,7.93,0.26,-0.66,0.61
3.86,-6.15,7.82,0.67,0.94,-0.11
2.78,-6.75,7.21,-1.08,-0.61,-0.62
3.84,-6.87,7.63,1.06,-0.12,0.42
4.34,-6.23,7.73,0.50,0.64,0.10
3.02,-6.37,7.42,-1.32,-0.14,-0.30
3.61,-6.22,7.82,0.59,0.16,0.39
3.79,-5.97,7.71,0.19,0.24,-0.11
3.34,-6.74,7.61,-0.45,-0.76,-0.10
3.52,-6.85,7.73,0.18,-0.11,0.12
4.95,-7.10,8.60,1.43,-0.26,0.87
4.01,-7.74,7.96,-0.94,-0.64,-0.64
-0.37,-4.85,6.82,-4.38,2.89,-1.14
1.82,-4.09,9.20,2.19,0.76,2.38
2.89,-3.88,9.29,1.07,0.21,0.08
1.48,-5.15,8.80,-1.41,-1.28,-0.48
2.99,-5.06,9.14,1.51,0.10,0.33
2.57,-4.74,8.89,-0.42,0.32,-0.24
0.08,-4.82,7.38,-2.49,-0.08,-1.52
4.36,-6.39,8.92,4.28,-1.57,1.54
6.02,-6.14,8.99,1.66,0.25,0.07
1.86,-6.61,6.93,-4.17,-0.47,-2.06
3.58,-6.57,8.06,1.72,0.03,1.13
3.94,-6.07,8.28,0.36,0.50,0.22
2.76,-6.47,7.57,-1.18,-0.40,-0.71
4.39,-7.11,8.54,1.63,-0.64,0.98
4.33,-7.02,8.19,-0.06,0.09,-0.35
0.31,-5.66,6.96,-4.02,1.37,-1.23
1.73,-4.71,8.77,1.42,0.95,1.81
3.31,-4.40,9.40,1.58,0.31,0.62
2.42,-5.37,8.62,-0.90,-0.97,-0.78
3.09,-5.50,8.82,0.68,-0.13,0.20
3.67,-5.14,9.04,0.57,0.37,0.22
2.27,-5.26,8.55,-1.39,-0.12,-0.49
2.67,-5.34,8.76,0.40,-0.09,0.21
2.86,-5.26,8.72,0.19,0.08,-0.04
2.47,-5.44,8.54,-0.39,-0.18,-0.18
2.67,-5.18,8.70,0.20,0.26,0.16
2.66,-5.07,8.78,-0.01,0.11,0.09
3.11,-5.18,8.80,0.45,-0.10,0.02
2.81,-5.30,8.62,-0.30,-0.12,-0.18
2.71,-5.24,8.72,-0.09,0.05,0.10
2.74,-5.18,8.79,0.03,0.06,0.07
2.70,-5.33,8.73,-0.04,-0.15,-0.06
2.65,-5.04,8.74,-0.06,0.29,0.01
1.91,-5.25,8.44,-0.74,-0.21,-0.30
0.68,-4.98,7.44,-1.23,0.27,-1.00
6.89,-4.95,9.74,6.20,0.02,2.31
4.87,-6.37,8.30,-2.02,-1.42,-1.44
1.90,-7.27,7.08,-2.96,-0.90,-1.22
3.57,-5.98,7.87,1.66,1.29,0.79
3.73,-5.95,7.70,0.16,0.02,-0.16
2.83,-6.75,7.33,-0.90,-0.80,-0.38
4.28,-6.69,8.08,1.46,0.06,0.76
3.90,-8.77,8.66,-0.39,-2.08,0.58
2.34,-4.81,7.31,-1.55,3.96,-1.35
2.14,-5.14,8.18,-0.21,-0.33,0.87
3.95,-4.84,8.91,1.81,0.30,0.73
2.37,-5.36,8.61,-1.58,-0.52,-0.30
2.10,-5.41,8.55,-0.27,-0.05,-0.06
3.06,-4.89,8.87,0.96,0.52,0.32
1.76,-4.94,8.29,-1.30,-0.05,-0.58
0.70,-3.96,7.30,-1.06,0.98,-1.00
4.80,-6.58,8.67,4.10,-2.62,1.38
6.16,-6.34,8.67,1.36,0.25,-0.01
2.37,-7.75,6.60,-3.79,-1.42,-2.07
3.32,-6.66,7.26,0.95,1.10,0.66
4.20,-6.24,7.96,0.88,0.42,0.70
2.86,-6.71,7.39,-1.34,-0.47,-0.57
3.52,-6.03,7.42,0.66,0.68,0.03
3.89,-6.31,7.76,0.37,-0.28,0.34
3.79,-6.53,7.69,-0.10,-0.22,-0.07
3.37,-6.39,7.32,-0.42,0.14,-0.37
3.29,-6.23,7.46,-0.08,0.16,0.14
3.65,-6.56,7.61,0.36,-0.33,0.15
3.52,-6.30,7.39,-0.12,0.27,-0.22
3.61,-6.39,7.62,0.09,-0.09,0.23
3.76,-6.70,7.78,0.14,-0.31,0.16
3.56,-6.62,7.66,-0.20,0.08,-0.12
3.22,-6.43,7.58,-0.34,0.19,-0.08
3.49,-6.61,7.83,0.28,-0.18,0.26
4.12,-6.92,8.08,0.63,-0.31,0.25
4.33,-10.62,8.71,0.21,-3.71,0.62
1.80,-5.17,7.33,-2.53,5.45,-1.38
0.04,-4.24,8.66,-1.76,0.93,1.34
1.34,-2.63,9.25,1.30,1.61,0.58
1.53,-4.76,8.97,0.20,-2.14,-0.28
2.15,-5.61,8.74,0.61,-0.85,-0.23
2.72,-5.34,9.03,0.57,0.27,0.29
1.86,-5.09,8.77,-0.86,0.25,-0.25
0.73,-4.30,7.89,-1.13,0.80,-0.89
1.12,-5.16,7.64,0.39,-0.86,-0.25
7.73,-6.21,9.83,6.61,-1.05,2.19
3.15,-7.18,6.96,-4.58,-0.97,-2.86
1.75,-7.87,6.91,-1.40,-0.69,-0.06
4.84,-6.28,8.22,3.09,1.59,1.31
3.76,-6.37,7.54,-1.08,-0.09,-0.68
3.44,-7.17,7.52,-0.32,-0.80,-0.02
4.45,-8.48,8.52,1.01,-1.31,1.00
6.91,-3.65,7.47,2.46,4.83,-1.06
-1.38,-5.57,6.38,-8.29,-1.93,-1.08
1.43,-3.49,8.43,2.81,2.09,2.04
2.48,-5.15,9.08,1.05,-1.66,0.65
2.57,-5.86,8.80,0.09,-0.72,-0.28
2.98,-5.74,8.62,0.41,0.13,-0.17
2.67,-5.64,8.89,-0.31,0.10,0.27
2.29,-5.51,8.67,-0.37,0.13,-0.22
1.99,-5.47,8.62,-0.30,0.04,-0.06
2.21,-5.53,8.84,0.22,-0.05,0.22
2.35,-5.20,8.72,0.14,0.33,-0.12
1.53,-5.09,8.58,-0.83,0.11,-0.14
2.31,-5.22,8.92,0.79,-0.13,0.34
2.80,-5.46,8.99,0.49,-0.24,0.07
2.23,-5.40,8.74,-0.57,0.06,-0.26
2.29,-5.27,8.97,0.06,0.13,0.23
2.36,-5.09,8.79,0.07,0.18,-0.17
1.75,-5.02,8.60,-0.61,0.07,-0.20
2.03,-5.03,8.73,0.28,-0.01,0.13
2.62,-5.11,8.96,0.59,-0.08,0.24
2.54,-5.88,8.81,-0.08,-0.77,-0.15
2.37,-5.50,8.65,-0.18,0.38,-0.17
2.18,-5.34,8.87,-0.19,0.16,0.22
2.33,-5.20,8.93,0.15,0.14,0.06
2.06,-4.98,8.68,-0.27,0.23,-0.25
1.60,-5.13,8.35,-0.46,-0.15,-0.34
2.65,-6.05,8.54,1.05,-0.92,0.19
4.36,-4.95,8.87,1.71,1.10,0.34
1.57,-6.91,7.36,-2.80,-1.96,-1.51
3.52,-6.05,8.04,1.95,0.86,0.67
4.13,-6.13,7.95,0.61,-0.09,-0.09
2.45,-7.24,7.04,-1.68,-1.11,-0.91
3.17,-6.39,7.33,0.73,0.85,0.29
3.92,-6.66,7.74,0.74,-0.27,0.41
3.50,-6.85,7.66,-0.42,-0.18,-0.08
3.17,-6.09,7.44,-0.33,0.76,-0.22
3.26,-6.36,7.70,0.08,-0.27,0.27
3.43,-6.65,7.65,0.18,-0.29,-0.06
3.44,-6.25,7.35,0.00,0.40,-0.29
3.65,-6.45,7.59,0.21,-0.19,0.23
3.36,-6.49,7.52,-0.28,-0.05,-0.07
3.51,-6.41,7.53,0.14,0.08,0.01
3.32,-6.48,7.52,-0.19,-0.07,-0.01
3.43,-6.39,7.54,0.11,0.10,0.02
3.42,-6.33,7.48,-0.01,0.06,-0.06
3.39,-6.66,7.61,-0.03,-0.34,0.13
3.83,-7.20,7.90,0.44,-0.54,0.29
4.41,-10.88,8.57,0.57,-3.68,0.67
6.56,-1.58,6.78,2.15,9.30,-1.79
-3.76,-3.70,6.80,-10.32,-2.12,0.01
0.80,-2.48,9.77,4.57,1.22,2.98
2.86,-3.78,9.77,2.05,-1.30,-0.00
2.20,-5.40,9.14,-0.66,-1.62,-0.63
2.32,-5.78,9.23,0.12,-0.38,0.09
2.55,-5.19,9.56,0.23,0.58,0.33
1.67,-4.87,9.11,-0.88,0.33,-0.45
1.81,-4.65,9.31,0.14,0.21,0.20
1.92,-4.69,9.30,0.11,-0.04,-0.01
1.53,-4.67,9.09,-0.40,0.02,-0.21
1.32,-4.50,8.97,-0.20,0.17,-0.13
1.90,-4.68,9.31,0.58,-0.17,0.34
1.62,-4.73,9.06,-0.28,-0.06,-0.25
1.64,-4.71,9.12,0.02,0.02,0.06
2.24,-4.92,9.50,0.60,-0.22,0.39
2.02,-4.98,9.33,-0.22,-0.05,-0.17
1.98,-4.75,9.14,-0.04,0.22,-0.19
1.66,-4.75,9.28,-0.31,0.00,0.14
1.65,-4.65,9.10,-0.01,0.10,-0.18
-0.16,-3.86,8.06,-1.81,0.79,-1.04
0.88,-4.45,7.74,1.04,-0.58,-0.32
4.83,-6.82,8.20,3.95,-2.38,0.46
6.79,-6.10,8.52,1.96,0.72,0.33
3.54,-8.12,6.62,-3.25,-2.02,-1.90
3.58,-6.77,6.81,0.04,1.35,0.18
4.57,-6.49,7.48,0.99,0.29,0.67
4.12,-6.85,7.26,-0.45,-0.36,-0.22
3.31,-6.35,6.83,-0.80,0.50,-0.43
4.81,-6.65,7.66,1.49,-0.30,0.83
4.33,-6.89,7.00,-0.47,-0.24,-0.66
3.31,-6.93,6.50,-1.03,-0.04,-0.51
4.70,-6.88,7.41,1.39,0.05,0.91
4.24,-6.55,7.10,-0.46,0.34,-0.31
3.27,-6.76,6.85,-0.97,-0.22,-0.24
4.10,-6.72,7.35,0.83,0.05,0.50
4.03,-6.58,7.04,-0.07,0.14,-0.31
3.59,-6.96,6.85,-0.45,-0.38,-0.19
4.23,-6.82,7.18,0.64,0.14,0.34
4.26,-7.01,7.41,0.03,-0.19,0.22
3.92,-7.76,7.29,-0.34,-0.75,-0.11
4.52,-7.32,7.81,0.60,0.44,0.51
3.36,-4.97,7.10,-1.16,2.35,-0.70
2.08,-3.04,8.45,-1.28,1.93,1.35
1.69,-4.23,9.21,-0.39,-1.19,0.76
3.15,-4.05,9.17,1.47,0.18,-0.04
2.30,-5.08,9.17,-0.85,-1.02,0.00
2.21,-4.80,9.25,-0.09,0.28,0.08
2.69,-4.82,9.30,0.48,-0.02,0.05
2.08,-4.85,8.88,-0.60,-0.03,-0.42
2.88,-4.63,9.12,0.79,0.22,0.24
2.74,-4.74,9.11,-0.14,-0.11,-0.00
2.96,-4.42,9.08,0.23,0.32,-0.03
2.81,-4.57,9.12,-0.15,-0.15,0.04
2.55,-4.99,8.95,-0.27,-0.43,-0.17
2.81,-4.59,9.05,0.27,0.40,0.10
2.36,-5.06,9.09,-0.46,-0.46,0.04
2.26,-5.03,9.11,-0.09,0.03,0.02
2.31,-4.82,9.01,0.05,0.21,-0.09
2.16,-4.81,8.99,-0.15,0.01,-0.03
2.20,-4.58,9.15,0.04,0.23,0.16
2.26,-4.44,9.07,0.06,0.14,-0.07
2.22,-4.56,9.08,-0.04,-0.12,0.00
2.53,-4.79,9.23,0.31,-0.23,0.16
2.34,-4.86,9.10,-0.18,-0.07,-0.13
2.20,-4.94,9.13,-0.15,-0.09,0.03
2.39,-4.77,9.24,0.19,0.18,0.11
2.61,-4.58,9.17,0.22,0.18,-0.06
2.20,-4.88,9.28,-0.41,-0.30,0.10
2.34,-4.56,9.25,0.14,0.33,-0.02
2.24,-4.62,9.30,-0.10,-0.06,0.04
2.19,-4.48,9.21,-0.05,0.13,-0.09
2.26,-4.19,9.19,0.06,0.29,-0.02
2.32,-4.42,9.23,0.07,-0.23,0.04
2.66,-4.70,9.28,0.34,-0.29,0.05
2.21,-4.87,9.14,-0.45,-0.16,-0.14
2.31,-4.53,9.31,0.10,0.34,0.17
2.26,-4.56,9.36,-0.06,-0.04,0.06
2.26,-4.68,9.19,0.01,-0.12,-0.17
2.12,-4.74,9.14,-0.14,-0.06,-0.05
2.19,-4.53,9.18,0.07,0.22,0.04
2.48,-4.15,9.29,0.29,0.38,0.10
2.17,-4.40,9.19,-0.31,-0.25,-0.10
2.47,-4.70,9.30,0.30,-0.30,0.11
2.23,-4.71,9.15,-0.24,-0.00,-0.15
2.34,-4.64,9.30,0.11,0.07,0.15
2.39,-4.26,9.26,0.05,0.38,-0.04
2.23,-4.53,9.24,-0.16,-0.27,-0.02
2.15,-4.60,9.29,-0.08,-0.08,0.05
2.03,-4.22,9.17,-0.12,0.39,-0.12
2.23,-4.39,9.30,0.20,-0.17,0.12
2.16,-4.33,9.32,-0.06,0.06,0.03
2.23,-4.53,9.26,0.06,-0.20,-0.07
2.16,-4.29,9.36,-0.06,0.24,0.11
2.17,-4.43,9.38,0.01,-0.14,0.01
2.11,-4.51,9.36,-0.06,-0.08,-0.02
2.09,-4.51,9.30,-0.03,0.00,-0.06
2.06,-4.62,9.24,-0.02,-0.11,-0.07
2.20,-4.56,9.28,0.14,0.06,0.05
2.06,-4.38,9.20,-0.14,0.18,-0.09
2.40,-4.28,9.34,0.34,0.10,0.15
2.37,-4.53,9.30,-0.03,-0.24,-0.05
2.21,-4.52,9.30,-0.16,0.01,-0.00
2.09,-4.47,9.31,-0.13,0.05,0.01
2.24,-4.49,9.30,0.16,-0.03,-0.01
2.30,-4.43,9.39,0.06,0.06,0.10
2.06,-4.42,9.30,-0.24,0.01,-0.09
2.12,-4.35,9.25,0.06,0.08,-0.06
2.40,-4.72,9.26,0.28,-0.37,0.01
2.25,-4.48,9.20,-0.15,0.24,-0.06
2.04,-4.25,9.32,-0.21,0.23,0.12
2.30,-4.40,9.39,0.26,-0.15,0.07
2.26,-4.62,9.29,-0.03,-0.22,-0.09
2.11,-4.65,9.26,-0.15,-0.03,-0.04
2.12,-4.41,9.28,0.00,0.24,0.02
2.28,-4.32,9.36,0.16,0.09,0.08
2.45,-4.39,9.40,0.18,-0.06,0.04
2.27,-4.20,9.26,-0.18,0.19,-0.15
2.31,-4.63,9.35,0.03,-0.43,0.10
2.18,-4.51,9.29,-0.12,0.12,-0.06
2.19,-4.50,9.28,0.00,0.01,-0.01
2.12,-4.42,9.24,-0.06,0.08,-0.05
2.28,-4.37,9.27,0.16,0.05,0.03
2.21,-4.60,9.22,-0.07,-0.23,-0.04
1.96,-4.49,9.17,-0.25,0.11,-0.05
2.14,-4.35,9.28,0.17,0.14,0.11
2.19,-4.45,9.29,0.05,-0.10,0.01
2.23,-4.56,9.35,0.04,-0.11,0.06
2.07,-4.49,9.32,-0.16,0.07,-0.04
1.98,-4.53,9.40,-0.08,-0.04,0.08
2.44,-4.53,9.46,0.46,0.00,0.06
2.18,-4.37,9.22,-0.26,0.16,-0.24
2.12,-4.30,9.22,-0.06,0.08,0.00
2.15,-4.35,9.28,0.02,-0.06,0.06
1.91,-4.64,9.16,-0.24,-0.29,-0.12
2.16,-4.55,9.24,0.25,0.10,0.08
2.15,-4.62,9.29,-0.00,-0.07,0.05
2.21,-4.47,9.45,0.05,0.15,0.16
2.19,-4.35,9.40,-0.02,0.12,-0.05
2.30,-4.36,9.44,0.11,-0.01,0.03
2.15,-4.36,9.29,-0.14,-0.00,-0.15
2.04,-4.37,9.22,-0.11,-0.01,-0.07
2.09,-4.35,9.26,0.04,0.02,0.04
2.19,-4.45,9.17,0.11,-0.10,-0.08
2.21,-4.42,9.29,0.02,0.03,0.12
2.06,-4.34,9.41,-0.15,0.08,0.11
2.01,-4.36,9.30,-0.05,-0.02,-0.11
1.99,-4.54,9.37,-0.01,-0.19,0.07
2.42,-4.69,9.40,0.42,-0.15,0.03
2.43,-4.56,9.36,0.01,0.13,-0.05
2.26,-4.20,9.37,-0.16,0.36,0.01
2.15,-4.42,9.34,-0.11,-0.22,-0.03
2.15,-4.39,9.32,0.00,0.03,-0.02
2.32,-4.43,9.33,0.17,-0.04,0.00
2.03,-4.35,9.24,-0.30,0.09,-0.08
2.08,-4.38,9.25,0.06,-0.04,0.01
2.18,-4.44,9.27,0.10,-0.06,0.02
2.24,-4.22,9.29,0.06,0.22,0.02
2.26,-4.36,9.27,0.02,-0.13,-0.02
2.42,-4.42,9.36,0.16,-0.06,0.09
2.33,-4.33,9.38,-0.09,0.09,0.02
2.40,-4.53,9.36,0.07,-0.20,-0.02
2.28,-4.49,9.29,-0.12,0.04,-0.07
2.27,-4.27,9.34,-0.01,0.22,0.05
2.23,-4.37,9.26,-0.05,-0.10,-0.08
2.19,-4.50,9.24,-0.04,-0.13,-0.02
2.24,-4.54,9.30,0.05,-0.04,0.06
2.29,-4.59,9.32,0.05,-0.05,0.02
2.28,-4.34,9.33,-0.00,0.25,0.01
2.19,-4.23,9.35,-0.10,0.12,0.02
2.35,-4.27,9.24,0.17,-0.05,-0.11
2.25,-4.44,9.24,-0.11,-0.16,0.00
2.13,-4.39,9.30,-0.11,0.05,0.05
2.28,-4.44,9.34,0.15,-0.05,0.04
2.23,-4.48,9.28,-0.06,-0.05,-0.05
2.42,-4.32,9.38,0.19,0.17,0.09
2.25,-4.36,9.37,-0.17,-0.04,-0.01
2.34,-4.38,9.28,0.09,-0.02,-0.08
2.47,-4.33,9.44,0.13,0.05,0.16
2.29,-4.41,9.35,-0.18,-0.08,-0.09
2.24,-4.39,9.35,-0.04,0.02,-0.00
2.13,-4.41,9.29,-0.12,-0.02,-0.06
2.20,-4.58,9.26,0.07,-0.17,-0.03
2.39,-4.44,9.37,0.19,0.14,0.11
2.32,-4.26,9.31,-0.07,0.18,-0.06
2.43,-4.30,9.37,0.11,-0.03,0.06
2.34,-4.33,9.33,-0.09,-0.03,-0.03
2.30,-4.34,9.32,-0.04,-0.01,-0.02
2.27,-4.37,9.31,-0.03,-0.03,-0.00
2.26,-4.36,9.28,-0.01,0.01,-0.03
2.19,-4.39,9.27,-0.07,-0.03,-0.01
2.46,-4.43,9.36,0.27,-0.04,0.09
2.31,-4.29,9.35,-0.15,0.14,-0.01
2.55,-4.32,9.39,0.25,-0.03,0.05
2.39,-4.23,9.40,-0.17,0.09,0.00
2.38,-4.33,9.34,-0.01,-0.10,-0.05
2.33,-4.23,9.35,-0.05,0.09,0.00
2.25,-4.28,9.30,-0.08,-0.04,-0.05
2.40,-4.35,9.32,0.16,-0.07,0.02
2.39,-4.27,9.34,-0.01,0.08,0.02
2.38,-4.36,9.37,-0.01,-0.09,0.03
2.42,-4.44,9.31,0.04,-0.08,-0.06
2.46,-4.40,9.39,0.04,0.04,0.08
2.37,-4.28,9.34,-0.10,0.12,-0.05
2.40,-4.21,9.40,0.04,0.07,0.06
2.33,-4.23,9.27,-0.07,-0.02,-0.13
2.23,-4.41,9.34,-0.10,-0.18,0.06
2.49,-4.47,9.43,0.27,-0.07,0.09
2.57,-4.41,9.44,0.07,0.06,0.01
2.48,-4.30,9.45,-0.08,0.11,0.01
2.40,-4.28,9.33,-0.08,0.02,-0.12
2.49,-4.31,9.39,0.09,-0.03,0.05
2.41,-4.16,9.35,-0.08,0.15,-0.03
2.36,-4.22,9.32,-0.05,-0.06,-0.03
2.30,-4.18,9.16,-0.06,0.04,-0.16
2.22,-4.11,9.16,-0.08,0.07,-0.00
2.39,-4.26,9.38,0.17,-0.15,0.23
2.33,-4.62,9.16,-0.06,-0.37,-0.22
2.42,-4.51,9.26,0.09,0.11,0.10
2.41,-4.33,9.28,-0.01,0.18,0.02
2.33,-4.22,9.30,-0.08,0.11,0.01
2.43,-4.32,9.38,0.10,-0.10,0.08
2.49,-4.51,9.39,0.06,-0.19,0.02
2.54,-4.54,9.39,0.05,-0.03,-0.00
2.35,-4.29,9.32,-0.19,0.24,-0.07
2.33,-4.31,9.31,-0.02,-0.01,-0.01
2.25,-4.37,9.23,-0.08,-0.06,-0.08
2.29,-4.36,9.20,0.04,0.00,-0.03
2.45,-4.32,9.31,0.17,0.04,0.11
2.49,-4.41,9.33,0.03,-0.09,0.01
2.50,-4.21,9.33,0.01,0.20,0.00
2.25,-4.33,9.35,-0.25,-0.12,0.02
2.35,-4.53,9.30,0.10,-0.20,-0.05
2.43,-4.58,9.25,0.08,-0.05,-0.05
2.41,-4.39,9.36,-0.02,0.19,0.11
2.39,-4.28,9.33,-0.02,0.11,-0.03
2.36,-4.38,9.30,-0.03,-0.10,-0.03
2.35,-4.44,9.28,-0.01,-0.06,-0.02
2.36,-4.45,9.28,0.01,-0.01,0.00
2.38,-4.37,9.36,0.01,0.09,0.08
2.57,-4.33,9.50,0.19,0.03,0.13
2.48,-4.35,9.41,-0.08,-0.01,-0.08
2.30,-4.33,9.40,-0.18,0.02,-0.02
