a_x,a_y,a_z,j_x,j_y,j_z
1.52,-5.60,8.45,-0.28,-0.01,-0.02
1.51,-5.61,8.57,-0.01,-0.02,0.12
1.56,-5.60,8.57,0.05,0.02,0.01
1.56,-7.71,8.32,0.00,-2.11,-0.25
4.36,-12.95,8.37,2.80,-5.24,0.05
1.92,-11.60,8.27,-2.43,1.35,-0.09
0.49,-4.52,8.02,-1.44,7.07,-0.26
0.86,-0.09,9.09,0.38,4.43,1.07
0.20,-0.06,9.16,-0.67,0.03,0.07
0.22,-0.71,9.35,0.03,-0.65,0.19
0.54,-3.29,8.90,0.32,-2.58,-0.45
0.74,-6.50,8.54,0.20,-3.21,-0.37
1.14,-7.50,8.86,0.40,-1.00,0.33
0.67,-6.63,8.81,-0.47,0.87,-0.05
0.94,-5.31,9.01,0.28,1.32,0.20
0.91,-4.97,9.02,-0.03,0.34,0.00
0.96,-4.78,9.01,0.05,0.19,-0.01
0.81,-5.26,8.84,-0.15,-0.48,-0.17
0.80,-5.35,8.94,-0.00,-0.09,0.09
1.00,-5.52,8.94,0.20,-0.17,0.00
1.16,-5.71,9.01,0.16,-0.19,0.07
1.00,-5.49,8.97,-0.16,0.22,-0.03
1.11,-5.24,8.92,0.11,0.25,-0.05
0.87,-5.30,8.78,-0.24,-0.06,-0.14
0.84,-5.28,8.76,-0.03,0.02,-0.03
0.91,-5.25,8.96,0.07,0.03,0.20
1.02,-5.45,8.88,0.11,-0.20,-0.08
1.11,-5.56,8.93,0.09,-0.11,0.06
0.98,-5.59,8.93,-0.13,-0.04,-0.01
0.99,-5.50,8.94,0.01,0.10,0.02
0.97,-5.26,8.97,-0.02,0.24,0.03
0.99,-5.23,8.98,0.03,0.03,0.01
0.96,-5.32,8.88,-0.04,-0.09,-0.10
1.46,-5.47,9.17,0.51,-0.15,0.28
1.10,-5.46,8.90,-0.37,0.01,-0.27
0.81,-5.49,8.76,-0.28,-0.03,-0.14
0.88,-5.44,8.86,0.07,0.05,0.10
1.13,-5.33,8.99,0.25,0.11,0.13
1.10,-5.27,8.98,-0.03,0.06,-0.01
0.94,-5.43,8.91,-0.16,-0.16,-0.08
1.25,-5.27,9.01,0.31,0.17,0.11
0.98,-5.32,8.97,-0.27,-0.06,-0.04
0.97,-5.05,8.95,-0.01,0.27,-0.02
1.17,-5.22,9.00,0.20,-0.17,0.05
0.95,-5.48,9.00,-0.22,-0.26,-0.00
0.77,-4.89,8.74,-0.18,0.59,-0.25
0.16,-1.21,9.23,-0.62,3.68,0.49
-1.48,3.11,8.23,-1.64,4.33,-1.00
-0.86,-2.62,4.98,0.62,-5.73,-3.26
3.12,-9.85,8.08,3.98,-7.23,3.11
4.10,-13.04,9.59,0.98,-3.19,1.50
2.82,-12.13,9.36,-1.29,0.91,-0.22
2.04,-8.52,8.76,-0.77,3.61,-0.61
2.03,-6.26,8.48,-0.01,2.26,-0.28
0.89,-5.34,7.59,-1.14,0.92,-0.89
0.86,-5.21,7.83,-0.02,0.13,0.24
1.78,-5.84,8.41,0.91,-0.62,0.58
0.63,-6.29,7.90,-1.15,-0.45,-0.51
1.15,-6.57,8.28,0.52,-0.28,0.38
1.78,-6.23,8.68,0.63,0.33,0.40
1.16,-6.27,8.24,-0.62,-0.04,-0.44
1.62,-6.03,8.45,0.46,0.24,0.21
1.18,-6.39,8.01,-0.43,-0.36,-0.44
1.26,-6.51,8.22,0.08,-0.12,0.22
1.12,-6.47,8.16,-0.14,0.04,-0.06
1.34,-6.26,8.38,0.22,0.22,0.22
1.29,-5.88,8.47,-0.05,0.38,0.09
1.48,-5.80,8.59,0.19,0.08,0.11
1.17,-6.27,8.32,-0.32,-0.47,-0.26
1.24,-6.13,8.33,0.07,0.14,0.00
1.09,-5.95,8.30,-0.15,0.17,-0.03
1.31,-5.94,8.36,0.22,0.02,0.06
1.38,-5.93,8.44,0.07,0.01,0.07
1.34,-5.91,8.50,-0.05,0.02,0.07
1.24,-6.28,8.27,-0.09,-0.37,-0.23
1.28,-6.12,8.35,0.03,0.16,0.08
1.29,-5.92,8.35,0.01,0.20,0.00
1.21,-6.20,8.25,-0.09,-0.28,-0.10
1.44,-5.92,8.45,0.24,0.28,0.19
1.44,-6.98,8.27,-0.00,-1.06,-0.17
2.71,-10.81,7.87,1.27,-3.83,-0.40
2.02,-11.69,8.55,-0.69,-0.88,0.68
-0.08,-6.08,7.68,-2.10,5.61,-0.87
0.31,-0.60,8.64,0.39,5.48,0.96
-0.21,-0.88,8.44,-0.52,-0.29,-0.20
0.77,-2.41,8.75,0.98,-1.53,0.30
1.45,-5.53,8.62,0.68,-3.12,-0.12
1.22,-7.35,8.58,-0.23,-1.82,-0.05
1.68,-7.06,9.22,0.46,0.29,0.65
1.16,-5.70,9.20,-0.52,1.36,-0.02
0.82,-5.36,8.98,-0.34,0.34,-0.23
0.94,-5.33,8.90,0.12,0.03,-0.08
0.65,-5.43,8.67,-0.29,-0.10,-0.23
0.49,-5.79,8.42,-0.16,-0.36,-0.24
0.83,-5.84,8.62,0.34,-0.05,0.20
0.82,-5.60,8.75,-0.01,0.24,0.13
0.94,-5.43,8.75,0.12,0.18,0.00
0.84,-5.51,8.81,-0.10,-0.08,0.06
0.90,-5.83,8.73,0.06,-0.32,-0.08
0.85,-5.89,8.68,-0.05,-0.06,-0.06
1.12,-5.55,8.86,0.27,0.34,0.18
0.85,-5.50,8.79,-0.28,0.05,-0.07
0.91,-5.57,8.72,0.06,-0.07,-0.07
0.73,-5.65,8.64,-0.18,-0.08,-0.08
1.01,-5.65,8.81,0.28,-0.00,0.17
1.06,-5.55,8.87,0.05,0.10,0.07
0.78,-5.55,8.76,-0.28,-0.00,-0.12
0.93,-5.60,8.70,0.15,-0.05,-0.05
0.91,-5.81,8.78,-0.02,-0.21,0.08
0.83,-5.42,8.80,-0.08,0.40,0.01
1.00,-5.47,8.74,0.17,-0.05,-0.06
0.95,-5.63,8.87,-0.05,-0.16,0.13
1.03,-5.68,8.79,0.08,-0.05,-0.08
0.82,-5.60,8.73,-0.22,0.08,-0.06
1.11,-5.63,8.91,0.30,-0.03,0.18
0.84,-5.50,8.82,-0.27,0.13,-0.09
1.03,-5.51,8.91,0.19,-0.01,0.09
0.89,-5.29,8.76,-0.14,0.22,-0.15
0.23,-4.13,8.48,-0.66,1.16,-0.28
-0.41,-2.66,8.10,-0.63,1.47,-0.37
2.88,-3.63,9.24,3.29,-0.97,1.14
0.61,-6.22,8.35,-2.27,-2.58,-0.89
1.48,-8.41,8.57,0.88,-2.19,0.22
1.73,-8.95,9.10,0.24,-0.54,0.53
0.76,-7.79,8.47,-0.96,1.16,-0.63
1.16,-6.02,8.66,0.40,1.77,0.19
1.40,-5.64,8.64,0.24,0.38,-0.02
0.65,-5.79,8.20,-0.75,-0.15,-0.44
0.64,-5.75,8.23,-0.01,0.04,0.03
1.14,-5.72,8.42,0.51,0.03,0.19
0.66,-6.27,8.26,-0.48,-0.54,-0.16
0.95,-6.28,8.37,0.29,-0.01,0.11
1.22,-6.00,8.72,0.27,0.28,0.34
1.01,-6.00,8.48,-0.21,-0.00,-0.24
1.05,-5.96,8.49,0.05,0.04,0.02
1.23,-5.76,8.61,0.18,0.20,0.11
0.96,-5.95,8.32,-0.27,-0.19,-0.29
1.22,-6.03,8.55,0.27,-0.08,0.23
1.09,-5.80,8.47,-0.14,0.23,-0.08
0.94,-6.20,8.31,-0.15,-0.40,-0.16
1.10,-5.86,8.54,0.16,0.34,0.22
1.20,-5.76,8.56,0.10,0.11,0.02
1.15,-5.97,8.41,-0.05,-0.21,-0.15
1.38,-6.17,8.69,0.23,-0.20,0.28
1.29,-6.30,8.53,-0.09,-0.13,-0.16
0.80,-6.10,8.45,-0.49,0.20,-0.07
1.08,-5.51,8.59,0.28,0.59,0.13
1.01,-5.95,8.43,-0.07,-0.44,-0.15
1.06,-6.29,8.41,0.05,-0.34,-0.02
1.26,-5.67,8.71,0.21,0.62,0.30
1.20,-5.64,8.40,-0.07,0.04,-0.31
1.18,-6.30,8.53,-0.01,-0.66,0.12
2.30,-8.59,8.71,1.12,-2.29,0.19
2.77,-11.80,8.71,0.46,-3.21,-0.01
1.11,-7.82,8.54,-1.66,3.98,-0.16
0.54,-2.72,8.72,-0.57,5.10,0.17
-0.47,-0.55,8.43,-1.01,2.17,-0.28
-0.45,-1.25,8.78,0.03,-0.70,0.35
0.18,-3.03,8.91,0.62,-1.79,0.12
0.20,-5.96,8.47,0.02,-2.92,-0.44
0.95,-7.19,9.07,0.75,-1.23,0.60
0.93,-6.07,9.28,-0.02,1.12,0.22
0.76,-5.25,9.17,-0.17,0.82,-0.11
0.79,-4.69,9.24,0.03,0.56,0.07
1.09,-4.82,9.22,0.30,-0.13,-0.02
0.37,-5.11,8.83,-0.72,-0.29,-0.39
0.40,-5.20,8.89,0.03,-0.09,0.06
0.40,-5.21,8.83,0.00,-0.01,-0.06
0.46,-5.22,8.99,0.07,-0.01,0.16
0.96,-5.16,9.33,0.50,0.06,0.35
0.97,-5.10,9.22,0.01,0.06,-0.11
0.64,-5.19,9.01,-0.33,-0.09,-0.22
0.63,-5.08,8.95,-0.01,0.11,-0.06
0.62,-5.47,8.90,-0.01,-0.38,-0.06
0.76,-5.21,9.12,0.14,0.26,0.22
0.71,-5.39,9.00,-0.05,-0.18,-0.12
0.91,-5.21,9.16,0.20,0.18,0.16
1.01,-5.29,9.16,0.10,-0.08,0.00
0.85,-5.18,9.03,-0.16,0.11,-0.13
0.69,-5.26,9.00,-0.16,-0.08,-0.03
0.76,-5.19,9.10,0.07,0.07,0.10
0.66,-5.16,8.96,-0.10,0.02,-0.14
0.73,-5.24,8.94,0.07,-0.07,-0.02
0.77,-5.31,9.04,0.04,-0.07,0.10
0.77,-5.27,9.05,-0.01,0.04,0.01
0.81,-4.86,9.04,0.05,0.41,-0.01
0.49,-4.01,9.02,-0.32,0.85,-0.02
-0.11,-1.65,8.81,-0.60,2.36,-0.21
0.97,1.13,8.63,1.09,2.78,-0.18
0.14,-4.82,6.68,-0.84,-5.95,-1.95
1.16,-10.37,8.52,1.02,-5.55,1.83
3.60,-10.93,10.23,2.44,-0.56,1.72
1.48,-9.38,9.14,-2.12,1.55,-1.09
1.38,-6.06,8.93,-0.10,3.32,-0.21
2.30,-5.08,8.78,0.92,0.98,-0.15
0.88,-5.48,8.26,-1.43,-0.40,-0.52
0.71,-5.79,8.11,-0.17,-0.31,-0.15
1.13,-5.84,8.43,0.43,-0.06,0.32
1.10,-5.57,8.61,-0.04,0.27,0.17
1.46,-5.77,8.77,0.36,-0.20,0.16
1.55,-6.11,8.89,0.09,-0.34,0.12
1.22,-5.71,8.42,-0.34,0.40,-0.47
0.78,-5.80,8.28,-0.44,-0.09,-0.14
1.44,-5.85,8.61,0.67,-0.05,0.34
1.08,-5.88,8.47,-0.36,-0.04,-0.14
1.23,-5.80,8.58,0.15,0.08,0.11
1.65,-5.61,8.89,0.42,0.20,0.31
1.18,-5.99,8.43,-0.47,-0.38,-0.45
1.29,-5.85,8.60,0.11,0.13,0.17
1.42,-5.72,8.63,0.13,0.14,0.03
1.09,-5.90,8.41,-0.33,-0.18,-0.22
1.24,-5.97,8.55,0.14,-0.08,0.14
1.43,-5.80,8.59,0.20,0.17,0.04
1.28,-5.59,8.56,-0.15,0.22,-0.03
1.49,-5.85,8.70,0.21,-0.27,0.14
1.37,-6.22,8.51,-0.12,-0.37,-0.19
1.32,-5.98,8.56,-0.05,0.24,0.06
1.45,-5.80,8.57,0.13,0.18,0.00
1.11,-5.77,8.44,-0.34,0.04,-0.13
1.45,-5.72,8.65,0.34,0.05,0.21
2.56,-7.99,8.67,1.12,-2.28,0.03
1.90,-14.80,7.38,-0.66,-6.80,-1.30
0.85,-8.50,8.56,-1.06,6.30,1.19
1.06,1.20,9.20,0.21,9.70,0.64
0.69,4.17,9.66,-0.36,2.97,0.45
0.31,0.97,9.11,-0.38,-3.20,-0.55
0.51,-7.35,7.57,0.20,-8.32,-1.53
0.91,-9.77,8.74,0.40,-2.42,1.17
1.26,-6.49,9.51,0.35,3.28,0.77
1.17,-3.87,9.33,-0.09,2.62,-0.18
1.25,-4.01,9.30,0.09,-0.13,-0.03
1.17,-5.35,8.98,-0.08,-1.34,-0.32
0.83,-6.15,8.82,-0.34,-0.79,-0.16
1.12,-5.14,9.12,0.29,1.00,0.31
0.84,-4.41,9.05,-0.28,0.73,-0.07
0.75,-4.99,9.00,-0.09,-0.58,-0.06
0.95,-5.27,9.07,0.20,-0.28,0.07
1.00,-5.63,8.86,0.04,-0.36,-0.21
1.06,-4.96,9.03,0.06,0.67,0.17
1.12,-5.28,9.13,0.06,-0.32,0.10
0.95,-5.10,9.00,-0.17,0.18,-0.12
1.01,-4.79,9.20,0.06,0.32,0.19
1.29,-5.11,9.14,0.28,-0.32,-0.06
1.06,-5.60,8.93,-0.22,-0.49,-0.21
0.85,-5.33,8.95,-0.22,0.27,0.01
1.13,-4.95,9.06,0.28,0.37,0.11
1.13,-4.99,9.05,0.01,-0.04,-0.02
1.17,-5.61,8.94,0.04,-0.62,-0.11
1.01,-5.60,9.01,-0.16,0.01,0.07
1.21,-5.41,9.02,0.19,0.19,0.01
1.18,-5.17,9.04,-0.03,0.24,0.02
1.11,-4.42,9.10,-0.06,0.75,0.06
0.66,-3.04,8.80,-0.46,1.37,-0.30
0.72,-0.45,8.92,0.06,2.59,0.12
0.74,-2.21,7.67,0.02,-1.76,-1.25
1.26,-7.06,7.83,0.52,-4.84,0.17
2.50,-10.57,9.15,1.24,-3.51,1.31
1.87,-10.51,8.91,-0.63,0.05,-0.24
1.65,-7.49,8.65,-0.22,3.02,-0.26
2.02,-5.70,8.80,0.37,1.79,0.16
0.97,-5.23,8.20,-1.04,0.47,-0.60
0.87,-5.83,7.97,-0.10,-0.60,-0.23
1.39,-6.06,8.56,0.52,-0.23,0.58
1.05,-6.06,8.39,-0.34,0.00,-0.17
1.47,-6.16,8.54,0.42,-0.10,0.15
1.57,-5.89,8.64,0.11,0.26,0.10
1.52,-6.08,8.58,-0.05,-0.19,-0.05
1.53,-6.06,8.37,0.01,0.02,-0.21
1.42,-5.83,8.54,-0.11,0.23,0.17
1.43,-6.00,8.42,0.01,-0.17,-0.12
1.53,-5.82,8.50,0.10,0.19,0.08
1.42,-6.08,8.56,-0.11,-0.27,0.06
1.46,-6.13,8.59,0.04,-0.05,0.03
1.30,-5.58,8.48,-0.16,0.56,-0.11
1.38,-5.94,8.37,0.09,-0.36,-0.11
1.43,-6.22,8.39,0.04,-0.29,0.03
1.51,-6.11,8.59,0.08,0.11,0.20
1.67,-5.61,8.59,0.16,0.51,-0.00
1.46,-6.14,8.52,-0.21,-0.54,-0.07
1.29,-6.25,8.34,-0.17,-0.11,-0.18
1.34,-5.88,8.45,0.06,0.38,0.11
1.48,-5.71,8.56,0.14,0.17,0.11
1.50,-6.01,8.43,0.02,-0.30,-0.13
1.44,-6.24,8.45,-0.06,-0.23,0.01
1.41,-6.22,8.46,-0.04,0.01,0.01
1.38,-6.03,8.52,-0.02,0.20,0.06
1.51,-5.69,8.52,0.12,0.34,-0.00
1.44,-5.71,8.46,-0.07,-0.02,-0.06
1.43,-6.15,8.40,-0.01,-0.44,-0.06
1.49,-5.81,8.56,0.06,0.35,0.16
1.55,-5.99,8.58,0.07,-0.19,0.02
1.45,-6.10,8.41,-0.10,-0.11,-0.17
1.20,-5.89,8.31,-0.25,0.21,-0.10
1.36,-5.82,8.63,0.16,0.07,0.32
1.38,-5.93,8.48,0.02,-0.11,-0.15
1.66,-6.05,8.49,0.27,-0.12,0.01
1.31,-6.37,8.45,-0.35,-0.32,-0.04
1.55,-5.68,8.44,0.24,0.69,-0.01
1.32,-5.95,8.22,-0.23,-0.27,-0.22
1.86,-6.02,8.55,0.54,-0.07,0.33
1.70,-5.65,8.45,-0.16,0.37,-0.10
1.73,-5.71,8.73,0.03,-0.07,0.28
1.56,-5.99,8.71,-0.16,-0.28,-0.03
1.37,-6.17,8.52,-0.19,-0.18,-0.19
1.55,-6.40,8.52,0.18,-0.23,0.00
1.55,-5.88,8.65,-0.00,0.52,0.13
1.45,-5.67,8.40,-0.10,0.21,-0.25
1.47,-5.53,8.58,0.02,0.14,0.18
1.30,-5.32,8.62,-0.17,0.21,0.04
1.37,-5.43,8.63,0.07,-0.11,0.00
1.52,-5.86,8.73,0.14,-0.43,0.10
1.40,-5.95,8.49,-0.12,-0.09,-0.24
1.19,-6.11,8.41,-0.21,-0.15,-0.08
1.46,-5.83,8.53,0.28,0.27,0.13
1.13,-5.86,8.49,-0.33,-0.03,-0.04
1.42,-5.85,8.60,0.29,0.01,0.10
1.39,-5.77,8.59,-0.03,0.07,-0.01
1.31,-5.72,8.50,-0.08,0.06,-0.09
1.64,-5.73,8.61,0.33,-0.01,0.12
1.53,-6.07,8.68,-0.11,-0.34,0.06
1.65,-5.98,8.62,0.12,0.09,-0.06
1.50,-5.74,8.70,-0.15,0.24,0.08
1.69,-5.75,8.63,0.19,-0.00,-0.06
1.32,-5.95,8.54,-0.37,-0.21,-0.09
1.42,-5.72,8.57,0.11,0.23,0.03
1.22,-5.68,8.46,-0.20,0.05,-0.11
1.23,-5.99,8.47,0.00,-0.31,0.01
1.39,-5.85,8.63,0.17,0.14,0.16
1.55,-5.69,8.68,0.16,0.16,0.04
1.60,-5.76,8.55,0.05,-0.07,-0.13
1.62,-5.92,8.58,0.01,-0.16,0.03
1.62,-5.96,8.57,-0.00,-0.04,-0.00
1.48,-6.04,8.58,-0.13,-0.09,0.01
1.58,-6.02,8.48,0.10,0.02,-0.10
1.26,-5.86,8.45,-0.32,0.17,-0.02
1.41,-5.85,8.52,0.14,0.01,0.07
1.32,-5.79,8.49,-0.08,0.06,-0.03
1.55,-5.74,8.47,0.22,0.05,-0.02
1.45,-5.85,8.65,-0.09,-0.11,0.19
1.59,-6.02,8.51,0.14,-0.17,-0.14
1.59,-6.05,8.50,-0.00,-0.03,-0.01
1.49,-5.95,8.47,-0.10,0.10,-0.04
1.40,-5.68,8.48,-0.09,0.28,0.01
1.26,-6.05,8.43,-0.15,-0.37,-0.04
1.63,-5.75,8.65,0.38,0.30,0.22
1.45,-6.02,8.50,-0.18,-0.27,-0.15
1.58,-5.94,8.64,0.12,0.07,0.14
1.70,-5.82,8.57,0.12,0.13,-0.08
1.44,-6.02,8.31,-0.26,-0.21,-0.25
1.29,-6.07,8.28,-0.15,-0.05,-0.03
1.63,-5.98,8.45,0.34,0.10,0.17
1.41,-6.19,8.51,-0.22,-0.22,0.06
1.70,-5.79,8.60,0.29,0.40,0.10
1.52,-5.82,8.53,-0.18,-0.03,-0.07
1.46,-6.01,8.37,-0.06,-0.19,-0.16
1.36,-6.10,8.18,-0.09,-0.09,-0.20
1.32,-5.77,8.37,-0.05,0.34,0.19
1.48,-6.03,8.53,0.16,-0.27,0.16
1.61,-6.23,8.54,0.14,-0.20,0.00
1.55,-6.11,8.64,-0.06,0.12,0.10
1.56,-5.76,8.47,0.00,0.35,-0.17
1.53,-5.96,8.35,-0.03,-0.20,-0.12
1.30,-6.30,8.29,-0.22,-0.34,-0.07
1.53,-6.20,8.39,0.23,0.10,0.10
1.48,-5.90,8.46,-0.05,0.30,0.07
1.64,-5.62,8.51,0.16,0.28,0.06
1.47,-5.94,8.32,-0.17,-0.32,-0.19
1.41,-6.02,8.39,-0.06,-0.08,0.07
1.80,-6.18,8.39,0.39,-0.16,-0.00
1.68,-6.26,8.42,-0.12,-0.08,0.02
1.48,-6.05,8.50,-0.20,0.22,0.08
1.85,-6.28,8.40,0.37,-0.23,-0.10
1.68,-6.11,8.21,-0.17,0.17,-0.19
1.39,-5.91,8.46,-0.29,0.19,0.25
1.21,-6.19,8.30,-0.18,-0.28,-0.17
1.48,-6.14,8.19,0.27,0.05,-0.11
1.56,-6.19,8.31,0.08,-0.05,0.12
1.71,-6.25,8.31,0.15,-0.06,0.00
1.39,-6.17,8.29,-0.32,0.08,-0.02
1.65,-5.94,8.47,0.26,0.24,0.18
1.74,-6.22,8.50,0.08,-0.28,0.04
1.71,-6.18,8.29,-0.03,0.04,-0.21
1.79,-6.09,8.33,0.09,0.09,0.04
1.69,-6.10,8.37,-0.11,-0.01,0.03
1.47,-6.17,8.27,-0.22,-0.07,-0.10
1.43,-6.08,8.28,-0.04,0.10,0.01
1.63,-6.12,8.33,0.20,-0.04,0.06
1.73,-6.16,8.37,0.10,-0.04,0.04
1.78,-6.17,8.25,0.06,-0.01,-0.12
1.69,-6.07,8.33,-0.09,0.11,0.08
1.50,-6.07,8.40,-0.19,-0.00,0.07
1.50,-6.18,8.24,0.00,-0.11,-0.16
1.72,-6.16,8.38,0.22,0.02,0.14
1.97,-6.17,8.41,0.24,-0.01,0.02
1.72,-6.34,8.53,-0.24,-0.16,0.12
1.74,-6.22,8.41,0.01,0.11,-0.12
1.45,-6.27,8.05,-0.28,-0.04,-0.36
1.31,-5.95,8.06,-0.14,0.31,0.01
1.26,-5.77,8.22,-0.05,0.19,0.16
1.30,-5.92,8.26,0.04,-0.16,0.04
1.57,-6.25,8.42,0.27,-0.33,0.16
1.74,-6.33,8.45,0.17,-0.07,0.03
1.83,-6.11,8.38,0.09,0.21,-0.07
1.90,-6.11,8.37,0.07,-0.00,-0.00
1.95,-6.11,8.33,0.06,0.01,-0.05
1.60,-6.17,8.28,-0.35,-0.06,-0.05
1.51,-6.34,8.20,-0.09,-0.17,-0.08
1.47,-6.25,8.26,-0.04,0.08,0.07
1.64,-6.03,8.33,0.17,0.22,0.07
1.68,-5.98,8.28,0.04,0.06,-0.05
1.65,-6.31,8.30,-0.03,-0.33,0.02
1.80,-6.22,8.33,0.15,0.09,0.03
1.75,-5.98,8.30,-0.05,0.24,-0.03
1.60,-6.00,8.35,-0.14,-0.01,0.05
1.67,-6.15,8.25,0.06,-0.16,-0.10
1.54,-6.32,8.29,-0.12,-0.17,0.04
1.81,-6.34,8.34,0.27,-0.02,0.06
1.90,-6.20,8.42,0.09,0.14,0.07
1.79,-6.22,8.26,-0.11,-0.02,-0.15
1.58,-6.23,8.13,-0.21,-0.01,-0.14
1.66,-5.98,8.20,0.07,0.25,0.08
1.58,-6.08,8.35,-0.08,-0.10,0.15
1.76,-6.23,8.40,0.18,-0.15,0.05
1.74,-6.11,8.44,-0.02,0.12,0.04
1.49,-6.21,8.28,-0.25,-0.10,-0.16
1.45,-6.06,8.14,-0.04,0.16,-0.14
1.44,-5.92,8.20,-0.01,0.14,0.07
1.93,-6.14,8.47,0.49,-0.22,0.26
1.84,-6.09,8.44,-0.09,0.06,-0.02
1.59,-6.26,8.45,-0.25,-0.18,0.01
1.41,-6.40,8.28,-0.19,-0.14,-0.17
1.49,-6.21,8.23,0.08,0.19,-0.05
1.69,-5.99,8.30,0.20,0.22,0.07
1.87,-5.88,8.36,0.18,0.11,0.06
1.69,-6.07,8.30,-0.18,-0.19,-0.06
1.46,-6.32,8.12,-0.22,-0.25,-0.18
1.83,-6.53,8.28,0.37,-0.21,0.16
1.33,-6.23,8.36,-0.50,0.29,0.08
2.01,-6.30,8.42,0.68,-0.07,0.06
2.49,-6.49,8.61,0.48,-0.19,0.19
2.45,-6.68,8.64,-0.04,-0.19,0.03
2.11,-6.68,8.30,-0.34,0.00,-0.34
1.40,-6.58,7.97,-0.72,0.10,-0.33
1.44,-5.90,7.88,0.05,0.68,-0.09
1.21,-5.84,7.84,-0.24,0.06,-0.04
0.77,-6.25,7.64,-0.44,-0.41,-0.20
1.73,-6.21,8.21,0.96,0.04,0.56
1.28,-6.24,8.07,-0.45,-0.03,-0.14
1.18,-6.19,8.12,-0.10,0.05,0.05
1.15,-6.10,8.22,-0.03,0.09,0.10
1.46,-6.19,8.37,0.32,-0.09,0.15
1.53,-6.25,8.28,0.06,-0.06,-0.09
1.71,-6.47,8.22,0.19,-0.22,-0.06
1.20,-6.35,8.13,-0.51,0.12,-0.10
1.50,-6.32,8.25,0.30,0.02,0.12
1.60,-6.37,8.41,0.10,-0.05,0.17
1.22,-6.50,8.32,-0.38,-0.13,-0.09
0.94,-6.03,8.28,-0.28,0.47,-0.04
0.83,-5.96,7.97,-0.11,0.07,-0.32
1.04,-6.12,8.11,0.21,-0.16,0.14
1.38,-6.09,8.33,0.34,0.03,0.22
1.31,-6.01,8.32,-0.06,0.07,-0.00
1.47,-6.42,8.71,0.16,-0.40,0.38
1.74,-6.74,8.66,0.27,-0.33,-0.04
1.53,-6.66,8.42,-0.21,0.08,-0.25
1.66,-6.53,8.47,0.13,0.12,0.05
1.04,-6.25,8.03,-0.62,0.28,-0.44
1.09,-5.76,8.38,0.05,0.50,0.35
0.74,-5.79,8.16,-0.35,-0.04,-0.22
0.93,-5.79,8.39,0.20,0.00,0.23
0.80,-5.70,8.66,-0.13,0.09,0.27
0.84,-5.92,8.54,0.03,-0.22,-0.11
0.42,-6.19,8.17,-0.42,-0.27,-0.37
0.76,-6.02,8.33,0.34,0.17,0.16
0.55,-6.09,8.31,-0.20,-0.07,-0.02
1.28,-5.82,8.70,0.73,0.27,0.39
0.92,-5.64,8.57,-0.36,0.17,-0.13
0.98,-5.68,8.49,0.06,-0.04,-0.09
0.85,-5.80,8.41,-0.13,-0.12,-0.07
1.09,-5.84,8.47,0.24,-0.04,0.06
1.17,-6.06,8.60,0.08,-0.22,0.14
1.24,-6.08,8.68,0.07,-0.02,0.08
1.05,-6.22,8.62,-0.19,-0.13,-0.06
1.16,-5.96,8.48,0.11,0.26,-0.14
0.74,-5.88,8.44,-0.42,0.08,-0.04
0.71,-5.65,8.36,-0.03,0.23,-0.08
0.78,-5.79,8.66,0.06,-0.14,0.29
0.93,-5.77,8.71,0.15,0.02,0.05
